product_id,product_name,product_type,product_category,brand,product_decription,product_purpose,cost_per_unit,cost_range
1,Advanced Night Repair Serum,serum,haircare,Aveda,Synchronized Multi-Recovery Complex,The #1 serum in the U.S.* Fight the look of multiple signs of aging.,$75.00 ,$75.00 - $200.00
2,Revitalizing Supreme+,face cream,Cosmetics/SkinCare,BECCA,Global Anti-Aging Cell Power Creme,"Multi-action creme, the key to younger-looking skin.",$59.00 ,$59.00 - $88.00
3,Revitalizing Supreme+,face cream,Cosmetics/SkinCare,Bobbi Brown,Global Anti-Aging Cell Power Creme SPF 15,"Multi-action SPF 15 creme, the key to younger-looking skin.",$88.00 ,$88.00 - $106.00
4,Revitalizing Supreme+ Bright,face cream,Cosmetics/SkinCare,Clinique,Power Soft Creme,"Multi-action creme visibly improves dark spots, acne marks.",$88.00 ,(none)
5,Revitalizing Supreme+ Bright,face lotion,Cosmetics/SkinCare,Darphin,Power Soft Milky Lotion,"Multi-action lotion visibly improves dark spots, acne marks.",$88.00 ,(none)
6,Micro Essence,treatment lotion,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Skin Activating Treatment Lotion,"Reveals skin's youthful, angelic glow.",$65.00 ,$65.00 - $200.00
7,Advanced Night Repair Eye Supercharged Complex,eye cream,Cosmetics/SkinCare,Dr.Jart+,Synchronized Recovery,Repairs. Brightens dark circles. Hydrates. Prevents.,$64.00 ,(none)
8,Advanced Night Repair Eye Concentrate Matrix,eye cream,Cosmetics/SkinCare,Estée Lauder,Synchronized Recovery,Repairs. Fortifies. Hydrates eyes.,$70.00 ,(none)
9,Perfectionist Pro,face treatment,Cosmetics/SkinCare,GLAMGLOW,Intense Brightening Essence Ampoule with Vitamin C/E + Licorice,"Renews skin. Reduces the look of dark spots, pores.",$110.00 ,(none)
10,Perfectionist Pro,face treatment,Cosmetics/SkinCare,La Mer,Rapid Brightening Treatment with Ferment² + Vitamin C,"Boosts radiance. Visibly reduces dark spots, pores.",$78.00 ,$78.00 - $110.00
11,Perfectionist Pro,face treatment,Cosmetics/SkinCare,Lab Series,Rapid Firm + Lift Treatment with Acetyl Hexapeptide-8,"See an overall more youthful, lifted look.",$78.00 ,$78.00 - $110.00
12,Revitalizing Supreme+ Night,face cream,Cosmetics/SkinCare,MAC Cosmetics,Intensive Restorative Creme,Firms. Reduces the look of lines. Deeply nourishes.,$89.00 ,(none)
13,Perfectly Clean,face cleanser,Cosmetics/SkinCare,Origins,Multi-Action Foam Cleanser/Purifying Mask,Richly lathers to cleanse. 3-minute purifying mask.,$27.00 ,(none)
14,Soft Clean,face cleanser,Cosmetics/SkinCare,Prescriptives,Moisture Rich Foaming Cleanser,"Foams into rich lather. Leaves skin soft, satisfied.",$24.00 ,(none)
15,Soft Clean,face lotion,Cosmetics/SkinCare,Smashbox,Silky Hydrating Lotion,"Hydrating toner. Leaves skin soft, supple.",$35.00 ,(none)
16,DayWear,face cream,Cosmetics/SkinCare,Too Faced[28],Multi-Protection Anti-Oxidant 24H-Moisture Creme SPF 15,Helps prevent and diminish first signs of aging.,$35.00 ,$35.00 - $55.00
17,Nutritious Super-Pomegranate,face cleanser,Cosmetics/SkinCare,Tom Ford Beauty,Radiant Energy 2-in-1 Cleansing Foam,Purifies skin 2 ways: as daily cleanser or as mask.,$34.00 ,(none)
18,Resilience Multi-Effect,face cream,Cosmetics/SkinCare,Smashbox,Tri-Peptide Face and Neck Creme SPF 15,"Intensely nourishing, for radiant, plumped, supple skin.",$30.00 ,$30.00 - $114.00
19,Advanced Night Repair Serum,serum,haircare,Bumble and Bumble,Synchronized Multi-Recovery Complex in Large-Size Red Bottle,Supersize celebration: the #1 serum in the U.S.* in a “lucky red” bottle.$287.50 Value.,$200.00 ,(none)
20,Advanced Night Repair Serum Duo,serum,haircare,Aveda,Synchronized Multi-Recovery Complex,Value set of the #1 serum in the U.S. Fight the look of signs of aging. A $210 Value,$180.00 ,(none)
21,Advanced Night Repair Eye Serum,eye serum,Cosmetics/SkinCare,AERIN,Synchronized Complex II,"Fights key signs of eye aging. Light, intensive.",$69.00 ,(none)
22,Advanced Night Repair,face treatment,Cosmetics/SkinCare,BECCA,Intense Reset Concentrate,Rescues and resets the look of skin fast.,$82.00 ,(none)
23,Advanced Night,face cleanser,Cosmetics/SkinCare,Bobbi Brown,Micro Cleansing Foam,Airy foam purifies skin; removes makeup & pollution.,$32.00 ,(none)
24,Advanced Night,face cleanser,Cosmetics/SkinCare,Clinique,Micro Cleansing Balm,Light balm melts to a cleansing oil. Removes makeup.,$47.00 ,(none)
25,Advanced Night Repair,mask,Cosmetics/SkinCare,Darphin,Concentrated Recovery Power Foil Mask,Innovative mask with exclusive repair technology.,$85.00 ,$85.00 - $165.00
26,Advanced Night Repair,eye mask,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Concentrated Recovery Eye Mask,Rejuvenates the look and feel of your eyes.,$42.00 ,(none)
27,Micro Essence,treatment lotion,Cosmetics/SkinCare,Dr.Jart+,Skin Activating Treatment Lotion Fresh with Sakura Ferment,"Ultra lightweight, for softer, smoother, glowing skin.",$120.00 ,$120.00 - $200.00
28,Micro Essence,mask,Cosmetics/SkinCare,Estée Lauder,Infusion Mask,"Deeply nourishing, intensely hydrating face mask.",$75.00 ,(none)
29,Perfectionist Pro,sunscreen,Cosmetics/SkinCare,GLAMGLOW,Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants,"Ultra light texture. UVA/UVB, Pollution and Dehydration defense.",$45.00 ,(none)
30,Perfectionist Pro,serum,haircare,Bumble and Bumble,Rapid Firm + Lift Treatment Duo,Value set of our superstar Firm + Lift serum. Worth $250,$192.00 ,(none)
31,Perfectionist [CP+R],serum,haircare,Aveda,Wrinkle Lifting/Firming Serum,"Significantly reduces the look of lines, wrinkles.",$108.00 ,(none)
32,Perfectionist Pro,sunscreen,Cosmetics/SkinCare,MAC Cosmetics,Multi-Defense UV Fluid SPF 45 with 8 Anti-Oxidants,UVA/UVB defense. Pollution defense. Dehydration defense.,$45.00 ,(none)
33,Perfectionist Pro,face treatment,Cosmetics/SkinCare,Origins,Rapid Renewal Retinol Treatment,"High-grade Retinol treatment fights wrinkles, dark spots.",$86.00 ,(none)
34,Perfectionist Pro,resurfacing cream,Cosmetics/SkinCare,Prescriptives,Instant Resurfacing Peel with 9.9% AHAs + BHA,"At-home ""micro-facial"" peel for instantly soft, radiant skin.",$78.00 ,(none)
35,Perfectionist Pro,face treatment,Cosmetics/SkinCare,Smashbox,Instant Wrinkle Filler with Tri-Polymer Blend,Immediately helps fill facial lines and wrinkles.,$56.00 ,(none)
36,Revitalizing Supreme+,eye cream,Cosmetics/SkinCare,Too Faced[28],Global Anti-Aging Cell Power Eye Balm,"Hydrates, firms and smooths the look of lines.",$68.00 ,(none)
37,Revitalizing Supreme+,toner,Cosmetics/SkinCare,Tom Ford Beauty,Global Anti-Aging Power Soft Emulsion,"Ultra lightweight, ultra comfortable, ultra hydrating.",$88.00 ,(none)
38,Nutritious Super-Pomegranate,face lotion,Cosmetics/SkinCare,AERIN,Radiant Energy Milky Lotion,"Nourishing, light lotion. Visibly minimizes pores.",$68.00 ,(none)
39,Nutritious Super-Pomegranate,face lotion,Cosmetics/SkinCare,BECCA,Radiant Energy Milky Lotion Light,Water-light hydrating lotion. Visibly minimizes pores.,$68.00 ,(none)
40,Nutritious Super-Pomegranate,face lotion,Cosmetics/SkinCare,Bobbi Brown,Radiant Energy Lotion Light,Lightweight lotion refreshes skin with moisture.,$58.00 ,(none)
41,Nutritious Super-Pomegranate,face lotion,Cosmetics/SkinCare,Clinique,Radiant Energy Lotion Intense Moist,"Rich, cushioning lotion envelops skin in moisture.",$58.00 ,(none)
42,Nutritious Super-Pomegranate,face cream,Cosmetics/SkinCare,Darphin,Radiant Energy Moisture Creme,Energizing moisture creme recharges skin’s radiance.,$70.00 ,(none)
43,Nutritious Super-Pomegranate,mask,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Radiant Energy Night Creme/Mask,"Rich, nourishing. Recharges skin’s radiance.",$74.00 ,(none)
44,DayWear,face cream,Cosmetics/SkinCare,Dr.Jart+,Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15,Innovative waterlight texture + powerful protection.,$55.00 ,(none)
45,DayWear Matte,face cream,Cosmetics/SkinCare,Estée Lauder,Oil-Control Anti-Oxidant Moisture Gel Creme,"Oil-Free, Oil-Controlling/Absorbing Moisturizer.",$55.00 ,(none)
46,NightWear Plus,face cream,Cosmetics/SkinCare,GLAMGLOW,Anti-Oxidant Night Detox Creme,"Detoxify, soothe, intensely hydrate—while you sleep.",$58.00 ,(none)
47,DayWear Eye,eye cream,Cosmetics/SkinCare,La Mer,Cooling Anti-Oxidant Moisture Gel Creme,"Brightens, de-puffs. 24-hour hydration. Anti-oxidants.",$42.00 ,(none)
48,Perfectly Clean,mask,Cosmetics/SkinCare,Lab Series,Multi-Action Creme Cleanser/Moisture Mask,Cushions as it cleanses. Non-foaming creme.,$27.00 ,(none)
49,Perfectly Clean,face cleanser,Cosmetics/SkinCare,MAC Cosmetics,Multi-Action Cleansing Gelée/Refiner,"Instantly foams to purify, exfoliate, unclog pores.",$27.00 ,(none)
50,Perfectly Clean,face lotion,Cosmetics/SkinCare,Origins,Multi-Action Toning Lotion/Refiner,"Tones and exfoliates in one, for a brighter look.",$27.00 ,(none)
51,Perfectly Clean,face lotion,Cosmetics/SkinCare,Prescriptives,Fresh Balancing Lotion,"Revitalizing toner conditions, rebalances.",$35.00 ,(none)
52,Resilience Multi-Effect Night,face cream,Cosmetics/SkinCare,Smashbox,Tri-Peptide Face and Neck Creme,Intense nighttime nourishment to lift and firm.,$98.00 ,$98.00 - $116.00
53,Resilience Multi-Effect,eye cream,Cosmetics/SkinCare,Too Faced[28],Tri-Peptide Eye Creme,"Intensely nourishing, for firmer, less-lined looking eyes.",$70.00 ,(none)
54,Advanced Time Zone Night,face cream,Cosmetics/SkinCare,Tom Ford Beauty,Age Reversing Line/Wrinkle Creme,"Intensive nighttime care for a younger look, fast.",$85.00 ,(none)
55,Advanced Time Zone,eye cream,Cosmetics/SkinCare,Clinique,Age Reversing Line/Wrinkle Eye Creme,Reduces the look of eye lines and signs of aging.,$64.00 ,(none)
56,Idealist,serum,haircare,Aveda,Pore Minimizing Skin Refinisher,"Pores look smaller. Skin feels soft, smooth.",$63.00 ,$63.00 - $94.00
57,Swiss Performing Extract,moisturizer,Cosmetics/SkinCare,AERIN,(none),Classic Formula. Helps maintain moisture.,$60.00 ,(none)
58,Gentle Eye Makeup Remover,makeup remover,Cosmetics/SkinCare,BECCA,(none),"Works quickly, thoroughly on shadow, mascara, etc.",$22.00 ,(none)
59,Perfectly Clean,face cleanser,Cosmetics/SkinCare,Bobbi Brown,Triple-Action Cleanser/Toner/Makeup Remover,Ingeniously combines all three steps into one.,$30.00 ,(none)
60,Take It Away,makeup remover,Cosmetics/SkinCare,Clinique,Makeup Remover Lotion,"All-around formula, even for long-wear, waterproof.",$31.00 ,(none)
61,Take It Away,makeup remover,Cosmetics/SkinCare,Darphin,Gentle Eye and Lip Longwear Makeup Remover,Quickly dissolves long-wear and waterproof makeup.,$22.00 ,(none)
62,Re-Nutriv,face massaging tool,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Ultimate Facial Massager,Visibly re-energizes skin in a moment of indulgence.,$175.00 ,(none)
63,Re-Nutriv,eye serum,Cosmetics/SkinCare,Dr.Jart+,Ultimate Diamond Transformative Eye Serum,Eyes look transformed at key facets. More sculpted. Brighter.,$180.00 ,(none)
64,Re-Nutriv,face cleanser,Cosmetics/SkinCare,Estée Lauder,Hydrating Foam Cleanser,"Richly foams, pampers as it cleans.",$70.00 ,(none)
65,Re-Nutriv,hand cream,Cosmetics/SkinCare,GLAMGLOW,Intensive Smoothing Hand Creme,Deeply nourishes dry hands.,$70.00 ,(none)
66,Re-Nutriv,face cream,Cosmetics/SkinCare,La Mer,Ultimate Lift Regenerating Youth Creme,"Strengthens, reveals a more lifted, radiant look.",$310.00 ,(none)
67,Re-Nutriv,eye cream,Cosmetics/SkinCare,Lab Series,Ultimate Lift Regenerating Youth Eye Creme,"Gives eyes a brighter, more lifted look.",$165.00 ,(none)
68,Re-Nutriv,serum,haircare,Bumble and Bumble,Ultimate Lift Regenerating Youth Serum,"Concentrated for a more lifted look, firmer feel.",$310.00 ,(none)
69,Re-Nutriv,face lotion,Cosmetics/SkinCare,Origins,Ultimate Lift Regenerating Youth Treatment Lotion,Hydration and brightening. Leaves skin soft.,$120.00 ,(none)
70,Re-Nutriv,face lotion,Cosmetics/SkinCare,Prescriptives,Ultimate Lift Regenerating Youth Emulsion,"Lightweight, deep-penetrating hydration for a radiant look.",$295.00 ,(none)
71,Re-Nutriv,face cream,Cosmetics/SkinCare,Smashbox,Creme,A Re-Nutriv Classic. Indulges with rich moisture.,$115.00 ,(none)
72,Re-Nutriv,face cream,Cosmetics/SkinCare,Too Faced[28],Lightweight Creme,"A Re-Nutriv Classic. Rich moisture, but lighter.",$115.00 ,(none)
73,Re-Nutriv,face lotion,Cosmetics/SkinCare,Tom Ford Beauty,Softening Lotion,"Smooths, softens, refreshes.",$73.00 ,(none)
74,Re-Nutriv,face cream,Cosmetics/SkinCare,AERIN,Ultimate Diamond Transformative Energy Creme Rich,"Decadently rich, deeply nourishing, exquisitely comforting.",$405.00 ,(none)
75,Re-Nutriv,face cream,Cosmetics/SkinCare,BECCA,Ultimate Diamond Transformative Energy Creme,With Black Diamond Truffle Extract. Pure energy.,$125.00 ,$125.00 - $405.00
76,Re-Nutriv,eye cream,Cosmetics/SkinCare,Bobbi Brown,Ultimate Diamond Transformative Energy Eye Creme,"Luxury for eyes, with Black Diamond Truffle Extract.",$280.00 ,(none)
77,Re-Nutriv,face cream,Cosmetics/SkinCare,Clinique,Ultimate Lift Regenerating Youth Creme Rich,"Strengthens, reveals a more lifted, radiant look.",$310.00 ,(none)
78,Re-Nutriv,eye cream,Cosmetics/SkinCare,Darphin,Ultimate Lift Regenerating Youth Eye Creme Rich,"Gives eyes a brighter, more lifted look, firmer feel.",$165.00 ,(none)
79,Double Wear,foundation,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Stay-in-Place Makeup,"24-hour wear. Flawless, natural, matte foundation.",$43.00 ,(none)
80,Pure Color Envy,lipstick,Cosmetics/SkinCare,Dr.Jart+,Sculpting Lipstick,"Statement-making, lip-shaping color. Creme finish.",$32.00 ,(none)
81,Futurist Hydra Rescue,foundation,Cosmetics/SkinCare,Estée Lauder,Moisturizing Makeup SPF 45,Flawless makeup with serious skincare.,$45.00 ,(none)
82,Double Wear,concealer,Cosmetics/SkinCare,GLAMGLOW,Radiant Concealer,Loves your skin with nourishing botanical extracts.,$30.00 ,(none)
83,Pure Color Illuminating Shine,lipstick,Cosmetics/SkinCare,La Mer,Sheer Shine Lipstick,"A pop of color, a burst of hydrating shine.",$32.00 ,(none)
84,Pure Color Envy Hi-Lustre,lipstick,Cosmetics/SkinCare,Lab Series,Light Sculpting Lipstick,"Transforms lips with lustrous color, brilliant shine.",$32.00 ,(none)
85,Pure Color Envy Matte,lipstick,Cosmetics/SkinCare,MAC Cosmetics,Sculpting Lipstick,Statement-making creme matte color.,$19.20 ,$19.20 - $32.00
86,Double Wear,concealer,Cosmetics/SkinCare,Origins,Maximum Cover Camouflage Makeup for Face and Body SPF 15,"Full, concealing Matte coverage. Waterproof. Long-wear.",$25.80 ,$25.80 - $43.00
87,Sumptuous Extreme,mascara,Cosmetics/SkinCare,Prescriptives,Lash Multiplying Volume Mascara,Outrageous Volume.,$29.00 ,(none)
88,Double Wear,eyeliner,Cosmetics/SkinCare,Smashbox,Stay-in-Place Eye Pencil,24-hour wear. Waterproof.,$28.00 ,(none)
89,Pure Color Envy,blush,Cosmetics/SkinCare,Too Faced[28],Flatters All Cheek Color,"A rush of fresh, rosy color for cheeks in a universal shade.",$32.00 ,(none)
90,Pure Color Envy,blush,Cosmetics/SkinCare,Tom Ford Beauty,Sculpting Blush,"A rush of fresh, radiant color for cheeks.",$36.50 ,$36.50 - $38.00
91,The MET 150 Collection,lipstick,Cosmetics/SkinCare,AERIN,Pure Color Envy Full-Size Lipstick Trio,3 full-size lipsticks in specially designed cases.,$90.00 ,(none)
92,Pure Color Envy,lip serum,Cosmetics/SkinCare,BECCA,Nighttime Rescue Lip Oil-Serum,"Nourishes, soothes and softens lips every night.",$32.00 ,(none)
93,Pure Color Envy,lip balm,Cosmetics/SkinCare,Bobbi Brown,Color Replenish Lip Balm,Hydrates. Smooths. Tints with personalized color.,$32.00 ,(none)
94,Pure Color Envy,lip treatment,Cosmetics/SkinCare,Clinique,Lip Repair Potion,Revives with all-in-one lip repair.,$32.00 ,(none)
95,Pure Color Envy,lip volumizer,Cosmetics/SkinCare,Darphin,Lip Volumizer,Sculpts. Plumps. Moisturizes.,$32.00 ,(none)
96,Perfectionist,foundation,Cosmetics/SkinCare,DECIEM by Brandon Truaxe,Youth-Infusing Serum Makeup SPF 25,Brightens. Hydrates. Medium to full coverage.,$52.00 ,(none)
97,Double Wear Cushion BB,foundation,Cosmetics/SkinCare,Dr.Jart+,All Day Wear Liquid Compact SPF 50,Cushion makeup with the lasting power of Double Wear.,$43.00 ,(none)
98,Re-Nutriv,foundation,Cosmetics/SkinCare,Estée Lauder,Ultra Radiance Liquid Makeup SPF 20,Look radiant: luxurious liquid foundation.,$105.00 ,(none)
99,Double Wear,foundation,Cosmetics/SkinCare,GLAMGLOW,Stay-in-Place Matte Powder Foundation,"Versatile powder to wear as foundation, or over it.",$43.00 ,(none)
100,Double Wear,concealer,Cosmetics/SkinCare,La Mer,Stay-in-Place Flawless Wear Concealer,24-hour flawless wear. Wand applicator.,$30.00 ,(none)
101,Double Wear Instant Fix Concealer,concealer,Cosmetics/SkinCare,Lab Series,24H Concealer + Hydra Prep,Two-sided prep and concealer.,$30.00 ,(none)
102,Pure Color Love,highlighter,Cosmetics/SkinCare,MAC Cosmetics,Cooling Highlighter,All-over pearly radiance and instant refreshment.,$24.00 ,(none)
103,Bronze Goddess,bronzer,Cosmetics/SkinCare,Origins,Powder Bronzer,"Silky and luxurious. Natural, shine-free color.",$45.00 ,(none)
104,Bronze Goddess,highlighter,Cosmetics/SkinCare,Prescriptives,Highlighting Powder Gelée,Luxe powder highlighter for luminous radiance.,$45.00 ,(none)
105,Year of the Ox,foundation,Cosmetics/SkinCare,Smashbox,Powder Compact,Collectible powder compact. Great gift. Refillable.,$200.00 ,(none)
106,Red Lacquer Alligator Slim,foundation,Cosmetics/SkinCare,Too Faced[28],Powder Compact,Collectible powder compact. Great gift. Refillable.,$200.00 ,(none)
