rating,label,text_
5,CG,This pillow saved my back. I love the look and feel of this pillow. Good padding and nice quality.  I love the feel of the fabric.  I would buy again
1,CG,"Missing information on how to use it, stupid but it is a great product for the price!  I These are so flimsy! They are not the quality you would expect from a piece of furniture."
5,CG,Very nice set. Good quality. We have had the set for two months now and have not been horrendous and mad
3,CG,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT. Nice but the size of the containers is a little small.Very pretty.
3,CG,These do fit well and look great.  I love the smoothness of the edges
5,CG,My son loves this comforter and it is very well made.  God We also have a baby She also loves it very much
5,CG,"Very handy for one of my kids and the tools are included in the package. I have one in perfect size, an easy to use and efficient"
5,CG,Makes may tea with out stirring. The only problem is that it's kind of hard to put
5,CG,Love this!  Perfect size for an entire family! Very good quality.
5,CG,Exactly what you would expect. I love the look and feel of this pillow. Fits well and seems to last a long time. Very good quality.
1,OR,Does not do a very good job; difficult to use. Not good quality product. Returned and exchanged twice now. Over it.
5,OR,"frame was beautifully crafted and looks great with my picture. Nice and easy to assemble, it serves it's purpose both functional and aesthetically"
5,OR,SOOOOOOO cute. I love them. Adorable. Well made and totally worth the price!! Purchased as a Christmas gift.  She will love it.
4,OR,"Great product, does it's job well holding my lunch several days a week. A little pricey for what it is."
3,OR,"Does the job, but nothing special. Not hard to install."
5,OR,Item as described and arrived in a timely manner.
5,OR,"Made well holds all my make brushes, pencils, mascara etc. It was as exactly decribed as it was shown on the picture. "
2,OR,These are so weak and worse. They barely bring in any air. THEY NEED TO BE MORE RESILIENT AND STRONGER.
5,OR,"Great set of glasses!  Good quality, comfortable to handle. Good price and I've gotten many compliments."
5,OR,Nice and contemporary. Great for the price. Easy to assemble. Beautiful little set!  Nice colors.  Love the colors!  Love that they are bright